1B9C100,277.78,141.84,53.76,476.19,106.38,54.95,90.91,233.92,170.94,50.25
1B9C100,279.07,206.9,61.22,375.0,84.51,54.55,90.91,255.32,142.86,46.88
1B9C100,285.71,150.0,51.72,352.94,83.33,60.0,78.95,272.73,142.86,41.67
1B9C100,134.23,148.15,124.22,170.94,91.32,115.61,168.07,138.89,158.73,125.0
1B9C100,134.23,148.15,124.22,170.94,91.32,115.61,168.07,138.89,158.73,125.0
#11b324,134.23,148.15,124.22,170.94,91.32,115.61,168.07,138.89,158.73,125.0
#11b324,134.23,148.15,124.22,170.94,91.32,115.61,168.07,138.89,158.73,125.0
#11b324,134.23,148.15,124.22,170.94,91.32,115.61,168.07,138.89,158.73,125.0
sk,192.31,192.31,238.1,192.31,192.31,238.1,192.31,192.31,238.1,833.33
sk,192.31,192.31,238.1,192.31,192.31,238.1,192.31,192.31,238.1,833.33
sk,192.31,192.31,238.1,192.31,192.31,238.1,192.31,192.31,238.1,833.33
sk,192.31,192.31,238.1,192.31,192.31,238.1,192.31,192.31,238.1,833.33
0,134.23,148.15,124.22,170.94,91.32,115.61,168.07,138.89,158.73,125.0
0,857.14,370.37,422.54,247.93,379.75,379.75,1250.0,394.74,789.47,468.75
0,230.41,225.23,197.63,265.96,220.26,192.31,211.86,241.55,260.42,228.31
1,134.23,148.15,124.22,170.94,91.32,115.61,168.07,138.89,158.73,125.0
1,129.31,153.06,120.97,161.29,88.24,118.11,168.54,127.12,157.89,122.95
1,191.49,183.67,257.14,166.67,230.77,191.49,250.0,187.5,187.5,209.3
1,191.49,183.67,257.14,166.67,230.77,191.49,250.0,187.5,187.5,209.3
1,288.14,168.32,239.44,149.12,361.7,178.95,283.33,184.78,177.08,269.84
1,397.59,160.98,230.77,141.03,523.81,172.77,305.56,183.33,171.88,320.39
123,186.57,208.33,243.9,193.05,227.27,216.45,229.36,239.23,184.5,187.97
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,186.57,208.33,243.9,193.05,227.27,216.45,229.36,239.23,184.5,187.97
123,186.57,208.33,243.9,193.05,227.27,216.45,229.36,239.23,184.5,187.97
0,186.57,208.33,243.9,193.05,227.27,216.45,229.36,239.23,184.5,187.97
0,186.57,208.33,243.9,193.05,227.27,216.45,229.36,239.23,184.5,187.97
0,186.57,208.33,243.9,193.05,227.27,216.45,229.36,239.23,184.5,187.97
